Part Number,Brand,Model,Benchmark
FH8068403419332,Intel,Core i7-8559U,77.5
,Intel,Core i5-10500H,77.5
,Intel,Xeon E3-1275 v3,77.2
,AMD,Ryzen 5 6600H,77.1
BX80646E31276V3,Intel,Xeon E3-1276 v3,77.1
,Intel,Core i7-9850H,77.1
BX80633I74930K,Intel,Core i7-4930K,76.9
,Intel,Xeon W3690,76.9
100-000000253,AMD,Ryzen 3 5300G,76.9
BX80648I75820K,Intel,Core i7-5820K,76.8
,Intel,Xeon E5-1650 v3,76.8
,Intel,Core i7-10750H,76.8
YD195XA8AEWOF,AMD,Ryzen TR 1950X,76.7
,Intel,Xeon E3-1230 v5,76.6
CL8068403373614,Intel,Core i5-8400H,76.6
YD190XA8AEWOF,AMD,Ryzen TR 1900X,76.3
BX80677I77700,Intel,Core i7-7700,76.2
,AMD,Ryzen 9 6900HS,76.2
,AMD,Ryzen 9 5900HS,76.1
,Intel,Xeon E5-1650 v2,76.0
,Intel,Core i7 X 980,76.0
,Intel,Xeon E3-1271 v3,75.9
BX80677I57600K,Intel,Core i5-7600K,75.8
YD270XBGAFBOX,AMD,Ryzen 7 2700X,75.7
,Intel,Xeon W3680,75.3
,Intel,Xeon E3-1270 v3,75.2
,AMD,Ryzen 7 5800H,75.2
,Intel,Core i7 980,75.2
100-000000083,AMD,Ryzen 7 4700U,75.2
,AMD,Ryzen 5 4500,75.1
BX80677I57600T,Intel,Core i5-7600T,75.1
,Intel,Xeon X5690,74.7
100-000000105,AMD,Ryzen 5 4600U,74.7
CM8068403358913,Intel,Core i5-8400T,74.7
100-100000284BOX,AMD,Ryzen 3 3100,74.6
BX80646E31241V3,Intel,Xeon E3-1241 v3,74.5
CL8068403805708,Intel,Core i9-8950HK,74.5
BX80619I73930K,Intel,Core i7-3930K,74.4
,AMD,Ryzen 9 4900H,74.4
,Intel,Core i5-8279U,74.2
,Intel,Xeon E3-1275 V2,74.2
,Intel,Xeon E5-2687W 0,74.2
YD260XBCAFBOX,AMD,Ryzen 5 2600X,74.0
,Intel,Core i7-11370H,74.0
BX80701G6600,Intel,Pentium Gold G6600,73.9
100-000000098,AMD,Ryzen 7 4800H,73.9
,Intel,Core i5-2550K,73.9
YD2700BBAFBOX,AMD,Ryzen 7 2700,73.8
YD160XBCAEWOF,AMD,Ryzen 5 1600X,73.7
BX80646I74770K,Intel,Core i7-4770K,73.6
BX80646I74771,Intel,Core i7-4771,73.5
,Intel,Xeon E3-1220 v5,73.4
,Intel,Core i7 970,73.4
BX80646E31231V3,Intel,Xeon E3-1231 v3,73.3
CL8068404121817,Intel,Core i7-9750H,73.3
BX80677I37320,Intel,Core i3-7320,73.2
FH8068403419522,Intel,Core i5-8259U,73.1
,Intel,Core i5-10200H,73.1
BX80646E31246V3,Intel,Xeon E3-1246 v3,73.0
BX80623I72700K,Intel,Core i7-2700K,73.0
,AMD,Ryzen 5 5600H,73.0
CM8068403362509,Intel,Core i5-8500T,73.0
,AMD,Ryzen 7 5800HS,72.9
,Intel,Core i5-8305G,72.9
,Intel,Core i5-6600T,72.9
,AMD,Ryzen 3 4100,72.9
YD2600BBAFBOX,AMD,Ryzen 5 2600,72.8
BX80646E31230V3,Intel,Xeon E3-1230 v3,72.8
,Intel,Xeon E3-1270 V2,72.7
,Intel,Xeon W3570,72.7
,Intel,Xeon E5-1650 0,72.7
,Intel,Xeon E3-1245 V2,72.6
YD250XBBM4KAF,AMD,Ryzen 5 2500X,72.6
,Intel,Core i7-8705G,72.5
,Intel,Core i5-4670S,72.4
BX80637I73770K,Intel,Core i7-3770K,72.4
,Intel,Core i7 975,72.4
BX80662I56600K,Intel,Core i5-6600K,72.4
BX80662I76700,Intel,Core i7-6700,72.3
,Intel,Xeon E3-1240 v3,72.2
,AMD,Ryzen 9 4900HS,72.2
BX80677I57600,Intel,Core i5-7600,72.0
,AMD,Ryzen 7 4800HS,72.0
YD1600BBAFBOX,AMD,Ryzen 5 1600AF,72.0
BX80633I74820K,Intel,Core i7-4820K,71.8
YD180XBCAEWOF,AMD,Ryzen 7 1800X,71.8
,Intel,Core i7-4790S,71.8
,Intel,Core i7-7820HK,71.7
BX80677I77700T,Intel,Core i7-7700T,71.7
BX80677I37350K,Intel,Core i3-7350K,71.5
,Intel,Xeon E3-1245 v3,71.5
,Intel,Xeon E5-2690 v2,71.4
100-000000084,AMD,Ryzen 5 4500U,71.4
BX80646I74790,Intel,Core i7-4790,71.4
,Intel,Xeon E3-1240 V2,71.4
,Intel,Core i7-7920HQ,71.4
,Intel,Xeon E3-1226 v3,71.3
,Intel,Xeon X5660,71.3
,Intel,Xeon E3-1265L v3,71.3
,Intel,Core i7-4770S,71.2
BX80701G6500,Intel,Pentium Gold G6500,71.2
CM8068403377415,Intel,Core i3-8100T,71.1
YD170XBCAEWOF,AMD,Ryzen 7 1700X,71.0
,Intel,Xeon E5-1620 v2,71.0
,Intel,Core i7-4790T,70.9
,Intel,Core i5-2450P,70.9
,Intel,Core i5-11300H,70.8
,Intel,Xeon X5667,70.8
,Intel,Xeon E31270,70.7
CL8068403359725,Intel,Core i7-8850H,70.7
BX80684I38100,Intel,Core i3-8100,70.6
,Intel,Core i7 880,70.6
BX80623I72600K,Intel,Core i7-2600K,70.6
BX80646I74770,Intel,Core i7-4770,70.5
,Intel,Xeon E3-1230 V2,70.5
,Intel,Core i7 K 875,70.4
,Intel,Xeon E3-1240,70.3
,Intel,Core i7-4770T,70.3
YD1600BBAEBOX,AMD,Ryzen 5 1600,70.2
CL8068403359524,Intel,Core i7-8750H,70.1
100-000000100,AMD,Ryzen 5 4600H,70.1
,Intel,Xeon X5650,70.1
,Intel,Xeon E3-1505M v6,70.1
BX80677I37300,Intel,Core i3-7300,70.0
CM8066201920202,Intel,Core i7-6700T,69.9
,Intel,Xeon E3-1225 V2,69.8
,Intel,Core i5-10300H,69.8
,Intel,Xeon E5-1620 0,69.7
,Intel,Core i7-3940XM,69.6
BX80684G5600,Intel,Pentium Gold G5600,69.6
,AMD,Ryzen 5 4600HS,69.6
BX80646I54690K,Intel,Core i5-4690K,69.6
,Intel,Core i7-3820,69.5
,Intel,Core i7-6920HQ,69.5
,Intel,Xeon E3-1220 V2,69.5
BX80662I36320,Intel,Core i3-6320,69.4
,Intel,Core i7-1195G7,69.4
,Intel,Xeon E31230,69.4
,Intel,Xeon E3-1220 v3,69.4
,Intel,Core i7-4940MX,69.3
,Intel,Core i7-3770S,69.3
,Intel,Xeon X5570,69.2
BX80684G5500,Intel,Pentium Gold G5500,69.1
,Intel,Core i7-4930MX,69.1
,Intel,Xeon E3-1225 v3,69.1
YD1700BBAEBOX,AMD,Ryzen 7 1700,69.0
,Intel,Core i5-1145G7,69.0
BX80637I73770,Intel,Core i7-3770,69.0
BX80637I53450S,Intel,Core i5-3450S,68.9
,Intel,Core i7-5700HQ,68.8
,Intel,Core i7-6820HK,68.8
,Intel,Core i5-1135G7,68.7
,Intel,Xeon X3470,68.7
,Intel,Xeon E5-2643 0,68.7
,Intel,Core i5-3550,68.6
,Intel,Xeon E31225,68.6
,Intel,Core i5-3475S,68.5
,Intel,Xeon E5-2630 v3,68.5
