price,part number
115.95,CMK64GX5M2B5600C40W
246.95,CMH64GX5M2B6000C40W
302.95,F5-6000J4040F16GX2-RS5K
164.95,CMV4GX3M1A1600C11
254.95,CMK8GX4M1A2666C16R
296.95,CMK32GX4M4B3200C16
350.95,CT16G4DFD824A
176.95,F4-2400C17S-4GIS
268.95,KVR26N19S8/8
187.95,F4-3200C16D-32GSXWB
220.95,CMW16GX4M2C3000C15
270.95,F4-3200C16D-16GTRS
169.95,F4-3600C18D-32GTZN
131.95,F4-3600C14D-16GTZNB
28.75,F4-3200C16S-32GVK
28.95,F4-2666C18D-64GVK
117.95,CMH32GX4M2D3600C18
50.95,CMH32GX4M4D3600C18
13.25,CMH32GX4M2Z3200C16
32.5,F4-3600C14D-32GVK
97.5,KF436C17BBK4/32
77.5,F5-5200J3636C16GX2-RS5W
97.5,KF552C40BB-32
128.95,F5-5600J3636D32GX2-RS5K
175.95,F5-5200J3636D32GX2-RS5K
97.5,F5-5200J3636D32GX2-RS5W
155.95,CMT32GX5M2B5200C40W
117.95,F5-5600J3636D32GX2-TZ5RK
163.95,F5-6000J3040F16GX2-RS5W
111.95,F5-5600J3636C16GX2-RS5K
269.95,F5-5600J2834F16GX2-TZ5RS
148.95,F5-5600J2834F32GX2-TZ5RK
164.95,CMK32GX5M2B6000C36
155.95,CMH32GX5M2B5200C40W
322.95,KF556C36BBEAK2-32
317.95,F5-5600J3036D16GX2-FX5
317.95,CMH64GX5M2B5600Z40K
208.95,F5-6400J3239G32GX2-TZ5RS
421.95,CMH64GX5M4B5600C36
193.95,CMK64GX5M2B6000Z40
166.95,CMK96GX5M2B5200C38
284.95,CMK48GX5M2B6400C36
493.95,F5-5600J2834F32GX2-TZ5RK
183.95,KF560C40BWAK2-64
179.95,CMT64GX5M2B6800C40
188.95,F5-6800J3446F24GX2-RS5K
230.95,F4-3200C14D-16GVK
339.95,F4-2133C15S-8GNS
600.95,F4-2400C15D-16GFT
388.95,CMK16GX4M2Z2666C16
368.95,F4-3000C16D-32GVRB
466.95,F4-3200C16D-16GSXFB
205.95,F4-3200C16Q-32GSXWB
178.95,F4-3600C18D-16GTZRX
268.95,F4-3200C16D-32GTRG
362.95,F4-3600C16D-32GTZRC
262.95,F4-3200C16Q-32GIS
101.95,CMK64GX4M2D3600C18
20.95,F4-3600C18D-64GTZR
47.5,F4-4400C17D-16GTZR
55.5,KF436C18BBK2/32
90.95,KF436C18BB/16
56.5,CMT32GX4M2G4000C18
114.95,F4-4400C19D-64GVK
76.95,F5-5200J3636C16GX2-RS5K
133.95,F5-5600J3636C16GX2-TZ5K
150.95,F5-6400J3239G16GX2-TZ5RS
98.95,F5-5600J3036D16GX2-TZ5RK
217.95,KF552C40BBAK2-32
218.95,F5-5200J4040A16GX2-RS5K
207.95,F5-5600J4040C16GX2-RS5K
122.95,CMH64GX4M4E3200C16
63.95,TXU16G2M3600C18X
274.95,F5-6000J3238F16GX2-TZ5NR
311.95,F5-5600J2834F16GX2-TZ5N
164.95,CMH32GX5M2B5200Z40K
179.95,CMK32GX5M2X7000C34
294.95,
263.95,CMH64GX5M4B6600C32
188.95,CMK48GX5M2B7000C40
164.95,CMH32GX5M2B6400C36W
164.95,CMH64GX5M2B6000Z30
229.95,F3-8500CL7D-8GBRL
42.5,CMX8GX3M2A1333C9
291.95,F5-6000J3238F16GX2-TZ5NR
267.95,F4-2400C15D-8GRR
180.95,F4-2666C15D-16GVR
109.95,F4-3200C16D-16GTZR
577.95,CMV4GX4M1A2400C16
311.95,F4-4000C19D-32GTZSW
148.95,F4-3200C16D-16GTZRX
303.95,F4-3200C16Q-64GTZR
34.5,CT2K4G4DFS8266
59.95,F4-3000C16D-16GTRS
23.75,F4-4800C18D-16GTRS
36.25,F4-3200C14D-32GTRG
57.95,F4-3600C16D-16GTZN
41.5,F4-3200C14D-16GTZN
78.5,CMSA16GX4M2A2666C18
21.25,F4-3600C14Q-32GTRGB
267.95,F4-3600C18Q-64GTRS
78.5,F4-3600C18D-32GTRS
240.95,F4-3600C18Q-32GTZR
54.5,F4-3600C18Q-32GVK
91.95,F4-3600C18D-32GVK
388.95,F4-2666C18Q-128GVK
229.95,F4-2666C18Q-128GTRG
138.95,CMW128GX4M4D3600C18
138.95,CMW128GX4M4D3000C16
55.5,CMT16GX4M2C3200C16W
353.95,CMT16GX4M2Z3200C16W
270.95,CMT32GX4M2Z3600C18
132.95,F4-4000C17D-16GTZRB
157.95,F4-4000C17D-32GTRGB
107.95,F4-4266C16D-16GVK
97.5,F4-4266C17D-32GTZRB
312.95,F4-3600C16Q-128GTRS
354.95,CMH128GX4M4E3200C16
486.95,CMH16GX4M2Z3600C18
446.95,F4-3600C16Q-128GTRG
117.95,F4-3600C14Q-64GTRG
117.95,F4-4266C16D-32GTZR
181.95,F4-4400C17D-32GTZR
153.95,F4-4400C17D-32GTRS
268.95,F4-4800C17D-16GTRS
155.95,CMT32GX4M4E3200C16
336.95,KF426C16BB/4
552.95,F4-3600C16Q-128GTRS
450.95,KF440C19RBK2/16
77.5,KF432C16BBK4/128
554.95,CMG64GX4M4E3200C16
575.95,CMN32GX4M2Z3200C16W
362.95,CMN32GX4M4Z3200C16W
362.95,CMN128GX4M4Z3200C16
339.95,CMN16GX4M2Z4000C18
339.95,CMN64GX4M4Z3600C18
223.95,CMN16GX4M2Z3200C16W
24.5,CMG64GX4M2E3200C16
67.5,CMT128GX4M4D3600C18
80.5,F4-4600C19D-16GTZRE
466.95,F5-5600J4040C16GX2-TZ5RK
353.95,F5-5600J3636C16GX2-TZ5RS
115.95,F5-6000J3636F16GX2-TZ5RK
155.95,KVR48U40BS6-8
461.95,KF556C40BB-8
126.95,F5-6000J3238F16GX2-RS5W
248.95,F5-6000J3040F16GX2-TZ5S
76.95,KF548C38BBAK2-32
223.95,F5-5200J4040A16GX2-RS5W
636.95,CMT64GX5M2B5200C40W
140.95,CMT64GX5M2X5600C40
197.95,F5-6000J3040G32GX2-TZ5K
234.95,F4-3600C14Q-32GTESA
260.95,KF560C32RSA-16
44.5,CMH32GX5M2B5600C40
51.5,CM4X8GD3000C16K4D
189.95,F5-6000J3238F16GX2-TZ5N
209.95,F5-5600J3036D16GX2-TZ5NR
194.95,F5-6000J3038F16GX2-TZ5NR
164.95,F5-5200J3636D32GX2-FX5
374.95,CMT32GX5M2B6400C32
409.95,CMH64GX5M4B5600Z36
379.95,KF560C40BB-32
518.95,CMK48GX5M2B5200C38
111.95,CT16G56C46U5
188.95,F5-7200J3646F24GX2-TZ5RS
30.25,F5-7200J3646F24GX2-TZ5RK
267.95,KF552C36BWEAK2-64
264.95,F5-5600J4040D24GX2-RS5K
318.95,F5-6000J4048F24GX2-RS5K
198.95,F5-6400J4048F24GX2-RS5K
283.95,CMT32GX5M2B6400C32
