brand,model,benchmark,memory
HyperX,Fury,63.7,120
Goodram,C100,63.6,120
Kingston,SVP100S296G,63.5,96
Crucial,BX500,63.5,480
Samsung,PM830 mSATA,63.3,256
Samsung,"PM841 2.5""",63.3,256
Adata,SX300,63.3,256
Kingston,SKC100S3120G,63.2,120
Intel,525 Series mSATA,63.2,120
Sandisk,SD5SG2256G1052E,63.1,256
Samsung,830,63.0,128
Toshiba,THNSNF256GMCS,63.0,256
Toshiba,OCZ TL100,62.8,240
Intel, Pro 1500 Series,62.8,180
Intel,SS DSC2BW180A3H,62.7,180
Adata,SU650,62.6,120
Samsung,MZ7TE128HMGR-000L1,62.3,128
Patriot,Blaze,62.2,240
OCZ,Trion 100,62.2,120
Intel,520 Series,62.0,60
Intel,520 Series,61.9,480
Samsung,MZMTE256HMHP-000MV,61.8,256
HP,S700,61.8,120
Apple,SM768E,61.7,751
Corsair,Force GS,61.5,480
Samsung,840,61.4,120
Patriot,Torch,61.4,240
Samsung,MZ7TD256HAFV-000L7,61.4,256
Samsung,MZNTD256HAGL-00000,61.4,256
Apple,S8E,61.4,121
Kingston,A400,61.3,120
Kingston,HyperX 3K,61.2,90
Samsung,PM830,61.1,128
Goodram,C40,61.1,240
SanDisk,Z400s,61.1,128
Mushkin,ECO2,60.9,120
Mushkin,Chronos,60.8,60
Crucial,M4,60.8,256
Kingston,Now 00 mSATA,60.7,60
Mushkin,MKNAT,60.7,240
SanDisk, Plus,60.5,240
SanDisk, Plus,60.5,240
OCZ,VERTEX3,60.5,60
Intel, Pro 2500 Series,60.3,120
Intel, Pro 2500 Series,60.3,120
Intel,SC2CT080A4,60.0,80
Crucial,M4,59.8,128
Samsung,MZMTD512HAGL-00000,59.8,512
Kingston,HyperX 3K,59.7,480
Adata,SP600,59.7,64
Mushkin,MKNAT,59.5,120
PNY,XLR8 Pro,59.3,480
Corsair,Force GT,59.3,60
SanDisk, Plus,59.2,960
SanDisk, Plus,59.2,960
Spcc,Solid State Disk,59.2,120
Intel,535 Series,59.2,480
Samsung,MZMTE256HMHP-000SO,59.1,256
SanDisk,X400s SATA,59.0,128
Crucial,M500 mSATA,58.7,120
Adata,XPG SX900,58.6,512
Crucial,M4,58.6,256
OCZ,Vertex 3,58.6,480
Team,XS3,58.5,120
SanDisk, Plus,58.5,120
SanDisk, Plus,58.5,120
PNY,2SC120G5LC709B121-510,58.2,120
Intel,510 Series,58.2,250
Intel,521 Series,57.9,240
Intel,MCEAW120A4,57.9,120
SanDisk,Extreme,57.9,480
Kingston,Now KC300,57.7,480
Corsair,Force GT,57.6,480
Samsung,MZMTD256HAGM-000L1,57.3,256
Intel,330 Series,57.3,60
Adata,XPG SX900,57.2,64
SanDisk,X110 mSATA,57.0,64
Kingston,RBU-SMS100S3128GA,56.9,128
Samsung,MZMPC256HBGJ-000H1,56.8,256
Crucial,Real C300,56.8,256
Toshiba,THNSNS064GMCP,56.5,64
Corsair,Neutron,56.5,64
Corsair,Force GS,56.5,360
Liteonit,LMT-19nmBGA-64G,56.5,64
Adata,SX300,56.3,128
Toshiba,OCZ TL100,56.1,120
Crucial,BX500,56.0,240
Samsung,MZMPC128HBFU-000L1,56.0,128
Samsung,PM830,56.0,64
Transcend,MSA340 mSATA,55.9,128
Micron,C400 Real,55.8,128
Corsair,Force LS,55.5,60
Micron,C400 Real,55.4,256
Samsung,PM851 mSATA,55.4,128
Transcend,370,55.3,64
Transcend,MSA370 mSATA,55.3,64
Mushkin,Chronos Deluxe,55.3,480
Samsung,MZ7TD128HAFV-000L1,55.2,128
Kingston,Now V310,55.1,960
PNY,2SC240G726A104-474-27753,55.0,240
Crucial,BX500,55.0,120
Adata,SP900,54.8,64
Crucial,M4,54.5,64
Samsung,PM830 mSATA,54.3,128
Kingston,SS200S330G,54.3,30
Transcend,MSA720 mSATA,54.0,128
Mushkin,Chronos Deluxe,54.0,60
Team,L3,54.0,120
Corsair,Force LS,53.9,120
Crucial,M4,53.9,128
Intel,510 Series,53.7,120
Intel,521 Series,53.7,180
Kingston,Now V300,53.6,120
Samsung,830,53.4,64
SanDisk, Plus,53.3,480
SanDisk, Plus,53.3,480
Crucial,C300-CTFDDAC128MAG,53.3,128
PNY,XLR8,53.2,240
PNY,XLR8,53.2,240
WD,Green SATA,53.1,120
Adata,XM11,53.1,128
Transcend,340,52.8,64
WD,Green,52.8,120
WD,Green,52.5,240
Liteonit,DMT-80,52.5,11
OCZ,Agility 3,52.4,240
Corsair,Force 3,52.2,240
Kingston,Now V300,52.2,480
WD,Green SATA,52.1,240
Liteonit,LMS-32L6M mSATA,51.9,32
Samsung,MZNTD128HAGM-00000,51.8,128
Micron,C400 Real mSATA,51.8,256
Samsung,PM830 mSATA,51.2,64
Adata,XM11,51.1,128
Mushkin,Chronos,49.9,480
PNY,2SC120G3LC726B104-370P,49.8,120
Patriot,Blaze,49.8,120
Micron,C400 Real mSATA,49.7,128
Liteonit,LAT-256M2S,49.1,256
OCZ,OCTANE,48.9,128
Samsung,MZMPC064HBDR-000L1,48.8,64
OCZ,Agility 3,48.7,120
Patriot,Torch,48.3,60
Kingston,Now V300,48.0,60
Adata,S511,47.9,60
Corsair,Force 3,47.8,120
OCZ,SOLID3,47.5,120
Samsung,MZMTD128HAFV-000L1,47.4,128
Crucial,C300-CTFDDAC128M,47.2,128
Plextor,PX-128M2S,47.1,128
Intel,SCIHF120A4H,46.9,120
OCZ,AGILITY3,46.8,128
Transcend,MSA720 mSATA,46.6,64
Liteonit,LMT-32L3M,46.3,32
Transcend,320,46.2,128
Crucial,C300-CTFDDAC064MAG,46.2,64
Intel,710 Series,46.2,300
Corsair,Force 3,46.1,180
Liteonit,LSS-24L6G,45.9,24
Intel,320 Series,45.8,300
Patriot,Blaze,45.7,60
WD,Green,45.4,240
Corsair,Force 3,45.4,90
Patriot,Torch,45.3,120
PNY,2SC120G726A104-475-27796,45.2,120
Liteonit,LAT-128M2S,45.0,128
OCZ,AGILITY4,44.6,64
,SiImage,44.2,50
,F5S3-,44.2,120
Corsair,Force,44.1,120
Mushkin,Callisto Deluxe,44.1,120
OCZ,AGILITY3,44.1,90
Micron,C400 Real mSATA,43.8,64
Intel,710 Series,43.8,200
Patriot,Inferno,43.7,240
OCZ,AGILITY3,43.6,180
WD,Green,43.3,120
Ocz-vertex2,3.5,43.0,120
Adata,SX300,42.9,64
Kingston,Now V Series,42.5,256
Corsair,Force 3,42.3,60
Samsung,470 Series,42.0,128
OCZ,AGILITY3,41.8,60
Intel,320 Series,41.8,160
Kingston,Now V+200 Series,41.5,90
,SandForce[290900],41.5,240
SanDisk,,41.3,128
Intel,710 Series,41.3,100
Samsung,"PM810 2.5"" 7m",41.1,56
SanDisk,,41.0,256
Intel,SA2VP020G2,40.9,20
OCZ,SOLID3,40.8,60
Samsung,PM830 mSATA,40.8,32
Ocz-vertex2,3.5,40.6,240
Intel,320 Series,40.4,120
PNY,2SC240G3LC709B104-495,40.3,240
Samsung,MZ7PA128HMCD-010,40.2,128
PNY,2SC240G3LC709B121-460P,40.0,240
Samsung,MZMPC032HBCD-000L1,39.8,32
Adata,S510,39.5,60
Corsair,Force,39.3,60
,F5S2S-,39.2,120
Apple,TS256C,38.6,251
SanDisk,,38.5,64
Ocz-vertex2,3.5,38.3,115
Kingston,SVP100S2128G,38.3,128
Crucial,MTFDBAK128MAG-1G1,38.1,128
Corsair,Performance3,38.1,64
Samsung,"PM810 2.5"" 7mm",38.1,128
Patriot,Inferno,38.1,100
Patriot,Pyro,38.0,60
Intel,320 Series,37.9,80
SanDisk,Ultra,37.7,120
Kingston,SVP100S264G,37.7,64
,F5S2S-,37.5,60
Sandisk,U100,37.5,128
OCZ,VERTEX2,37.5,100
SanDisk,U110,37.1,128
Mushkin,Callisto Deluxe,37.0,60
Team,XS2,36.9,60
Intel,525 Series mSATA,36.6,30
Samsung,PM81,36.5,128
Intel,X25-M,36.3,120
Intel,X25-M,36.3,160
OCZ,VERTEX2,36.2,60
Ocz-vertex2,3.5,36.2,90
Sandisk,SC032G,36.0,32
OCZ,AGILITY2,35.9,115
Corsair,C-V,35.9,128
Sandisk,U100,35.8,256
Corsair,Force,35.7,115
PNY,2SC120G3LC709B121-460P,35.7,120
Patriot,Inferno,35.5,60
Ocz-vertex2,3.5,35.5,180
Corsair,Force 3,35.4,480
Sandisk,U100,35.4,64
Toshiba,THNS512GG8BBAA,35.3,512
,CRUCIAL-CT285,35.1,128
Sandisk,U100,34.7,252
OCZ,VERTEX2,34.4,50
Samsung,PM810 mSATA,34.4,128
Corsair,Force,34.3,40
Samsung,470 Series,34.2,64
OCZ,VERTEX2,34.1,160
OCZ,AGILITY3,34.1,480
Intel,X25-M,34.0,80
Kingston,Now V+ Series,33.6,128
Sandisk,U100,32.7,124
Kingston,Now V+ Series,32.6,64
Corsair,C-F,32.3,80
Samsung,MZMPA128HMFU-000H1,32.0,128
Sandisk,U100 S,31.9,126
Toshiba,THNS128GG4BBAA,31.4,128
OCZ,VERTEX PLUS,31.3,120
OCZ,Nocti Series mSATA,31.1,60
OCZ,VERTEX,31.1,128
Intel,SA2CT040G3,31.0,40
Sandisk,U100,30.9,24
Corsair,Nova 2,30.9,60
Sandisk,U110,30.6,24
OCZ,VERTEX-PLUS,30.6,120
Intel,X25-M,30.4,40
Intel,X18-M,30.3,160
Toshiba,THNS064GG2BNAA,30.1,64
Kingston,Now V Series,29.5,128
Samsung,MZMPA064HMDR-000,29.4,64
Kingston,Now V Series,29.4,64
OCZ,VERTEX2,29.1,80
Patriot,Torqx 2,28.7,64
Corsair,C-V,28.7,64
Sandisk,i100,28.0,24
Toshiba,THNS128GG4BAAA-NonFDE,28.0,128
Toshiba,THNSNW128GMCP,27.7,128
OCZ,AGILITY3,27.6,360
Crucial,V4,27.6,256
OCZ,Nocti Series mSATA,27.1,120
Crucial,V4,27.0,128
Patriot,Torqx 2,27.0,32
OCZ,VERTEX-PLUS,26.7,60
Samsung,MZMPA032HMCD-000,26.6,32
Samsung,MMDOE56G5MXP-0VB,26.4,256
OCZ,VERTEX,26.4,64
OCZ,VERTEX-TURBO,26.3,32
OCZ,NOCTI,26.1,30
Corsair,Nova 2,25.4,30
Corsair,CMF-,25.4,64
Corsair,CMF-,25.3,256
OCZ,SUMMIT,25.2,128
Kingston,SV100S2128G,24.6,128
Samsung,"PM800 Series 2.5""",24.5,256
Samsung,MZMPA024HMCD-000L1,24.2,24
OCZ,PETROL,23.9,64
,C-V,23.8,60
Samsung,"PM800 2.5""",23.5,128
Samsung,"PB22-JS3 FDE 2.5""",23.4,256
Samsung,"PB22-JS3 FDE 2.5""",23.4,128
Kingston,SV100S2,23.0,256
Corsair,CMF-128D1,22.7,128
Sandisk,U100,22.7,16
Corsair,C-V,22.6,32
Samsung,MMCRE28G8MXP-0VBL1,22.4,128
Kingston,SMS100S232G,22.3,32
Samsung,PM800 TH,22.1,64
Sandisk,i100,21.6,16
Transcend,TS128G25S-M,21.2,128
Kingston,SV100S264G,21.1,64
Kingston,Now SNV Series,20.2,128
Samsung,PM800 mSATA,19.4,64
Samsung,MCG8GC,18.8,63
Transcend,TS64G25S-M,18.5,64
Kingston,Now SNV Series,18.1,64
Patriot,Warp V2,17.5,64
Toshiba,THNSNB128GMCJ,15.9,128
Samsung,RBX Series,15.8,128
Samsung,MMCQE28G8MUP-0VA,14.5,128
Sandisk,i P4,13.2,8
,OS,9.75,500
,HTS545050A7E380,8.84,500
Toshiba,THNS128GE8BBDC,8.74,128
Samsung,MBG4GC,0.0,31
