part number,brand,model,benchmark,memory
,Toshiba,MQ01ABD064,41.2,640
HDP725050GLA360,Hitachi,Deskstar P7K500,41.1,500
,WD,WD10EAVS-00D7B1,41.1,1024
,Hitachi,HTS725032A9A360,41.0,320
,Hitachi,HTS545050A7E380,41.0,500
,Samsung,HN-M500MBB,41.0,500
,,KingFast,40.9,128
WD3200BEKT,WD,"Black 2.5""",40.8,320
,Toshiba,MQ01ABF032,40.8,320
,Seagate,ST3160318AS,40.8,160
,Samsung,HN-M101M,40.7,1024
,Seagate,ST500LT032-1E9142,40.6,500
,,WL640GSA872,40.5,640
,Hitachi,HTS545050A7E680,40.5,500
WD5000AADS,WD,Green,40.5,500
,Hitachi,HTS545050A7E3800,40.5,500
ST250LT007,Seagate,"Momentus Thin 7200 2.5""",40.4,250
,Hitachi,HDT721032SLA,40.4,320
,Seagate,ST500LM011 HM501II,40.3,500
,Toshiba,MQ01ABD032,40.3,320
,Hitachi,HTS725025A9A364,40.1,250
,Seagate,ST3250310CS,40.1,250
,Samsung,MMCRE28G8MXP-0VBL1,40.1,128
,Toshiba,MK7559GSXP,40.1,750
,Samsung,HM100UI,40.1,1024
,WD,WD740ADFD-00NLR1,40.0,74
WD1600AAJS,WD,Blue,39.9,160
,WD,WD8088AADS-00M2B0,39.9,809
,Seagate,ST500LM0 ST500LM012 HN-M5,39.8,500
,WD,WD10S21X-24R1BT0-SSHD-,39.8,8
WD3200LPVT,WD,"Blue 2.5""",39.7,320
,WD,WD6400AACS-00G8B1,39.6,640
,Seagate,ST3320310CS,39.6,320
,WD,WD10EVCS-63E0B0,39.6,1024
,WD,WD740ADFS-00SLR5,39.5,74
,Hitachi,HTS725032A9A364,39.5,320
,Hitachi,HTS723232A7A364,39.4,320
,WD,WD1500ADFD-00NLR1,39.3,150
WD7500BPVT,WD,"Blue 2.5""",39.3,750
WD2500AAJS,WD,Blue,39.3,250
,Samsung,HD103UI,39.2,1024
,Samsung,HD251HJ,39.2,250
,Toshiba,MK2561GSYN,39.1,250
,WD,WD1600ADFS-60SLR2,39.0,160
,WD,WD10EACS-00ZJB0,39.0,1024
WD5000BPVX,WD,"Blue 2.5""",38.9,500
,Toshiba,MK7575GSX,38.9,750
,WD,WD1500AHFD-00RAR5,38.9,150
,Seagate,ST750LM022 HN-M750MBB,38.8,750
,WD,WD6400AAVS-00G9B1,38.8,640
,Seagate,ST9250410AS,38.8,250
,Samsung,HD200HJ,38.7,200
,Excelstor,Technology J9250S,38.6,250
,,OCZ-AGILITY3,38.5,120
,WD,WD5000AVDS-63U7B1,38.4,500
,Hitachi,HTS54757,38.4,750
,Toshiba,MK6459GSX,38.3,640
WD5000AAJS,WD,Blue,38.1,500
WD3200LPVX,WD,"Blue 2.5""",38.0,320
,Hitachi,HDT721025SLA380,38.0,250
,Hitachi,HDS721075KLA330,38.0,750
