designation,price,description
Kingston FURY Beast RGB 16 Go (2 x 8 Go) DDR5 4800 MHz CL38,98.50,Kit Dual Channel 2 barrettes de RAM DDR5 PC5-38400 - KF548C38BBAK2-16
Corsair Vengeance DDR5 32 Go (2 x 16 Go) 5200 MHz CL40,163.95,Kit Dual Channel 2 barrettes de RAM DDR5 PC5-41600 - CMK32GX5M2B5200Z40 - Optimisée pour AMD
G.Skill NT Series 8 Go (2x 4Go) DDR3 1333 MHz,25.50,G.Skill NT Series 8 Go (kit 2x 4 Go) DDR3-SDRAM PC3-10600 - F3-10600CL9D-8GBNT
G.Skill Value 8 Go DDR4 2133 MHz CL15,20.95,RAM DDR4 PC4-17000 - F4-2133C15S-8GNT
G.Skill Trident Z5 RGB 32 Go (2 x 16 Go) DDR5 5600 MHz CL36 - Noir,170.95,Kit Dual Channel 2 barrettes de RAM DDR5 PC5-44800 - F5-5600J3636C16GX2-TZ5RK
G.Skill Flare X5 Series Low Profile 32 Go (2x 16 Go) DDR5 6000 MHz CL30,168.95,Kit Dual Channel 2 barrettes de RAM DDR5 PC5-48000 - F5-6000J3038F16GX2-FX5 - Optimisée pour AMD
G.Skill Trident Z RGB 16 Go (2x 8 Go) DDR4 3200 MHz CL16,78.50,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-25600 - F4-3200C16D-16GTZR avec LED RGB
Corsair Vengeance LPX Series Low Profile 32 Go (2 x 16 Go) DDR4 3200 MHz CL16,97.50,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-25600 - CMK32GX4M2E3200C16W
Fox Spirit Akura RGB 16 Go (2x 8 Go) DDR4 3200 MHz CL16,55.95,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-25600 - FXU8G1M3200C16X2
Kingston FURY Beast RGB 16 Go (2 x 8 Go) DDR5 5600 MHz CL40,109.95,Kit Dual Channel 2 barrettes de RAM DDR5 PC5-44800 - KF556C40BBAK2-16
G.Skill Aegis 16 Go (1 x 16 Go) DDR4 2133 MHz CL15,38.25,RAM DDR4 PC4-17000 - F4-2133C15S-16GIS
Corsair Vengeance RGB PRO Series 16 Go (2x 8 Go) DDR4 3200 MHz CL16,77.50,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-25600 - CMW16GX4M2C3200C16
Corsair Vengeance LPX Series Low Profile 64 Go (2 x 32 Go) DDR4 3600 MHz CL18,217.95,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-28800 - CMK64GX4M2D3600C18
G.Skill Aegis 16 Go (2 x 8 Go) DDR4 2133 MHz CL15,41.25,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-17000 - F4-2133C15D-16GIS
Kingston FURY Beast 64 Go (2 x 32 Go) DDR5 6000 MHz CL36,350.95,Kit Dual Channel 2 barrettes de RAM DDR5 PC5-48000 - KF560C36BBEK2-64 - Optimisée pour AMD
G.Skill XL Series RipJaws X Series 8 Go (kit 2x 4 Go) DDR3 1600 MHz,37.25,G.Skill XL Series RipJaws X Series 8 Go (kit 2x 4 Go) DDR3-SDRAM PC3-12800 - F3-12800CL9D-8GBXL
Corsair ValueSelect 4 Go DDR4 2666MHz CL18,22.75,RAM DDR4 PC4-21300 - CMV4GX4M1A2666C18
G.Skill RipJaws 5 Series Noir 32 Go (1 x 32 Go) DDR4 3200 MHz CL16,97.50,Barrette de RAM DDR4 PC4-25600 - F4-3200C16S-32GVK
Corsair Vengeance RGB PRO SL Series 32 Go (2 x 16 Go) DDR4 3200 MHz CL16 - Noir,111.95,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-25600 - CMH32GX4M2Z3200C16
Textorm 64 Go (2x 32 Go) DDR5 4800 MHz CL40,236.95,Kit Dual Channel 2 barrettes de RAM DDR5 PC5-38400 - TXU32G2M480040K2
Corsair Vengeance RGB DDR5 32 Go (2 x 16 Go) 5200 MHz CL40 - Noir,177.95,Kit Dual Channel 2 barrettes de RAM RGB DDR5 PC5-41600 - CMH32GX5M2B5200C40
G.Skill Aegis 32 Go (2 x 16 Go) DDR4 3000 MHz CL16,83.95,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-24000 - F4-3000C16D-32GISB
G.Skill Trident Z5 RGB 32 Go (2 x 16 Go) DDR5 6000 MHz CL32 - Argent,170.95,Kit Dual Channel 2 barrettes de RAM DDR5 PC5-48000 - F5-6000J3238F16GX2-TZ5RS
Corsair Vengeance LPX Series Low Profile 16 Go (2x 8 Go) DDR4 2133 MHz CL13,55.95,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-17000 - CMK16GX4M2A2133C13
Corsair Vengeance LPX Series Low Profile 16 Go (2x 8 Go) DDR4 3200 MHz CL16,59.95,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-25600 - CMK16GX4M2Z3200C16
Corsair Vengeance RGB PRO SL Series 16 Go (2 x 8 Go) DDR4 3600 MHz CL18 - Noir,77.50,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-28800 - CMH16GX4M2Z3600C18
Corsair Vengeance DDR5 64 Go (2 x 32 Go) 5200 MHz CL40 - Noir,311.95,Kit Dual Channel 2 barrettes de RAM DDR5 PC5-41600 - CMK64GX5M2B5200C40
Kingston FURY Renegade RGB 16 Go DDR5 6000 MHz CL32,111.95,RAM DDR5 PC5-48000 - KF560C32RSA-16
