designation,price,description
ASUS PRIME H610M-K D4,82.95,Carte mère Micro ATX Socket 1700 Intel H610 Express - 2x DDR4 - M.2 PCIe 3.0 - USB 3.0 - PCI-Express 4.0 16x
Gigabyte B760 DS3H AX DDR4,132.95,Carte mère ATX Socket 1700 Intel B760 Express - 4x DDR4 - M.2 PCIe 4.0 - USB 3.2 - PCI-Express 4.0 16x - Wi-Fi 6E/Bluetooth 5.2
MSI PRO B660M-G DDR4,90.50,Carte mère Micro ATX Socket 1700 Intel B660 Express - 2x DDR4 - M.2 PCIe 4.0 - USB 3.0 - PCI-Express 4.0 16x - LAN 2.5 GbE
MSI B450M-A PRO MAX,64.95,Carte mère micro-ATX Socket AM4 AMD B450 - 2x DDR4 - SATA 6Gb/s + M.2 - USB 3.0 - 1x PCI-Express 3.0 16x
ASUS PRIME H510M-E,85.95,Carte mère Micro ATX Socket 1200 Intel H510 Express - 2x DDR4 - SATA 6Gb/s + M.2 PCIe NVMe - USB 3.0 - PCI-Express 4.0 16x
MSI MAG B660M MORTAR DDR4,160.95,Carte mère Micro ATX Socket 1700 Intel B660 Express - 4x DDR4 - M.2 PCIe 4.0 - USB 3.2 - PCI-Express 4.0 16x - LAN 2.5 GbE
ASUS ROG STRIX B660-G GAMING WIFI,192.95,Carte mère Micro ATX Socket 1700 Intel B660 Express - 4x DDR5 - M.2 PCIe 4.0 - USB 3.2 - PCI-Express 5.0 16x - LAN 2.5 GbE + Wi-Fi 6 AX
MSI MAG B650 TOMAHAWK WIFI,247.95,Carte mère ATX Socket AM5 AMD B650 - 4x DDR5 - M.2 PCIe 4.0 - USB 3.2 - PCI-Express 4.0 16x - LAN 2.5 GbE - Wi-Fi 6E
ASUS ROG STRIX B760-A GAMING WIFI D4,219.95,Carte mère ATX Socket 1700 Intel B760 Express - 4x DDR4 - M.2 PCIe 4.0 - USB 3.2 - PCI-Express 5.0 16x - LAN 2.5 GbE - Wi-Fi 6E/Bluetooth 5.3
ASUS PRIME Z690-A,203.95,Carte mère ATX Socket 1700 Intel Z690 Express - 4x DDR5 - SATA 6Gb/s + M.2 PCI-E NVMe - USB 3.2 - LAN 2.5 GbE - PCI-Express 5.0 16x
Gigabyte B550 AORUS ELITE AX V2,163.95,Carte mère ATX Socket AM4 AMD B550 - 4x DDR4 - M.2 PCIe 4.0 - USB 3.1 - PCI-Express 4.0 16x - LAN 2.5 GbE + Wi-Fi 6 AX
ASUS PRIME B650-PLUS,207.95,Carte mère ATX Socket AM5 AMD B650 - 4x DDR5 - M.2 PCIe 5.0 - USB 3.1 - PCI-Express 4.0 16x - LAN 2.5 GbE
ASUS ROG STRIX B650-A GAMING WIFI,267.95,Carte mère ATX Socket AM5 AMD B650 - 4x DDR5 - M.2 PCIe 5.0 - USB 3.2 - PCI-Express 4.0 16x - LAN 2.5 GbE - Wi-Fi 6E/Bluetooth 5.2
ASUS PRIME B760M-K D4,113.95,Carte mère Micro ATX Socket 1700 Intel B760 Express - 2x DDR4 - M.2 PCIe 4.0 - USB 3.0 - PCI-Express 4.0 16x - LAN 2.5 GbE
ASRock B550 Pro4,135.95,Carte mère ATX Socket AM4 AMD B550 - 4x DDR4 - SATA 6Gb/s + M.2 PCI-E NVMe - USB 3.1 - 2x PCI-Express 16x
ASUS TUF GAMING B550M-PLUS WIFI II,161.95,Carte mère Micro ATX Socket AM4 AMD B550 - 4x DDR4 - M.2 PCIe 4.0 - USB 3.1 - PCI-Express 4.0 16x - LAN 2.5 GbE + Wi-Fi 6 AX
ASRock B550M PG Riptide,124.95,Carte mère Micro ATX Socket AM4 AMD B550 - 4x DDR4 - M.2 PCIe 4.0 - USB 3.1 - PCI-Express 4.0 16x
ASRock X570 Steel Legend,200.95,Carte mère ATX Socket AM4 AMD X570 - 4x DDR4 - SATA 6Gb/s + M.2 - USB 3.1 - 2x PCI-Express 4.0 16x
ASRock B550M-ITX/AC,143.95,Carte mère Mini ITX Socket AM4 AMD B550 - 2x DDR4 - SATA 6Gb/s + M.2 PCI-E NVMe - USB 3.0 - PCI-Express 4.0 16x
MSI MAG Z690 TOMAHAWK WIFI DDR5,295.95,Carte mère ATX Socket 1700 Intel Z690 Express - 4x DDR5 - M.2 PCIe 4.0 - USB 3.2 - PCI-Express 5.0 16x - LAN 2.5 GbE - Wi-Fi 6E
ASUS ProArt Z790-CREATOR WIFI,565.95,Carte mère ATX Socket 1700 Intel Z790 Express - 4x DDR5 - M.2 PCIe 4.0 - Thunderbolt 4 - PCI-Express 5.0 16x - LAN 10 GbE - Wi-Fi 6E/Bluetooth 5.3
Gigabyte B650M DS3H,171.95,Carte mère Micro ATX Socket AM5 AMD B650 - 4x DDR5 - SATA 6Gb/s + M.2 - USB 3.1 - PCI-Express 4.0 16x
ASUS TUF GAMING B550M-PLUS,144.95,Carte mère Micro ATX Socket AM4 AMD B550 - 4x DDR4 - SATA 6Gb/s + M.2 - USB 3.1 - PCI-Express 4.0 16x - LAN 2.5 GbE
MSI MPG Z690 FORCE WIFI DDR5,337.95,Carte mère ATX Socket 1700 Intel Z690 Express - 4x DDR5 - M.2 PCIe 4.0 - USB 3.2 - PCI-Express 5.0 16x - LAN 2.5 GbE - Wi-Fi 6E
ASUS PRIME H610M-A WIFI D4,118.95,Carte mère Micro ATX Socket 1700 Intel H610 Express - 2x DDR4 - M.2 PCIe 3.0 - USB 3.1 - PCI-Express 4.0 16x
ASUS ROG STRIX X670E-F GAMING WIFI,401.95,Carte mère ATX Socket AM5 AMD X670E - 4x DDR5 - M.2 PCIe 5.0 - USB 3.2 - PCI-Express 5.0 16x - LAN 2.5 GbE - Wi-Fi 6E
ASUS ROG CROSSHAIR X670E HERO,628.95,Carte mère ATX Socket AM5 AMD X670E - 4x DDR5 - M.2 PCIe 5.0 - USB 4.0 - PCI-Express 5.0 16x - LAN 2.5 GbE - Wi-Fi 6E
ASUS TUF GAMING B650-PLUS,239.95,Carte mère ATX Socket AM5 AMD B650 - 4x DDR5 - M.2 PCIe 5.0 - USB 3.2 - PCI-Express 4.0 16x - LAN 2.5 GbE
Gigabyte Z790 GAMING X AX,245.95,Carte mère ATX Socket 1700 Intel Z790 Express - 4x DDR5 - M.2 PCIe 4.0 - USB 3.2 - PCI-Express 5.0 16x - LAN 2.5 GbE - Wi-Fi 6E
ASRock B450 Steel Legend,96.95,Carte mère ATX Socket AM4 AMD B450 - 4x DDR4 - SATA 6Gb/s + M.2 - USB 3.1 - 1x PCI-Express 3.0 16x
ASUS ROG STRIX Z790-A GAMING WIFI D4,358.95,Carte mère ATX Socket 1700 Intel Z790 Express - 4x DDR4 - M.2 PCIe 4.0 - USB 3.2 - PCI-Express 5.0 16x - LAN 2.5 GbE - Wi-Fi 6E/Bluetooth 5.2
MSI PRO B550M-P GEN3,94.50,Carte mère Micro ATX Socket AM4 AMD B550 - 4x DDR4 - M.2 PCIe 3.0 - USB 3.1 - PCI-Express 3.0 16x
ASRock B760M PRO RS,136.95,Carte mère Micro ATX Socket 1700 Intel B760 Express - 4x DDR5 - M.2 PCIe 4.0 - USB 3.0 - PCI-Express 5.0 16x - LAN 2.5 GbE
MSI B550-A PRO,128.95,Carte mère ATX Socket AM4 AMD B550 - 4x DDR4 - SATA 6Gb/s + M.2 - USB 3.1 - PCI-Express 4.0 16x
ASRock B550M Phantom Gaming 4,90.50,Carte mère micro-ATX Socket AM4 AMD B550 - 4x DDR4 - SATA 6Gb/s + M.2 PCI-E NVMe - USB 3.0 - 2x PCI-Express 3.0 16x
MSI MPG Z690 CARBON WIFI DDR5,354.95,Carte mère ATX Socket 1700 Intel Z690 Express - 4x DDR5 - M.2 PCIe 4.0 - USB 3.2 - PCI-Express 5.0 16x - LAN 2.5 GbE - Wi-Fi 6E
MSI PRO Z690-A DDR4,222.95,Carte mère ATX Socket 1700 Intel Z690 Express - 4x DDR4 - M.2 PCIe 4.0 - USB 3.2 - PCI-Express 5.0 16x - LAN 2.5 GbE
MSI MAG B760 TOMAHAWK WIFI,199.95,Carte mère ATX Socket 1700 Intel B760 Express - 4x DDR5 - M.2 PCIe 4.0 - USB 3.2 - PCI-Express 5.0 16x - LAN 2.5 GbE + Wi-Fi 6E/Bluetooth 5.3
MSI PRO Z790-A WIFI,244.95,Carte mère ATX Socket 1700 Intel Z790 Express - 4x DDR5 - M.2 PCIe 4.0 - USB 3.2 - PCI-Express 5.0 16x - LAN 2.5 GbE - Wi-Fi 6E/Bluetooth 5.2
Gigabyte X670 AORUS ELITE AX,318.95,Carte mère ATX Socket AM5 AMD X670 - 4x DDR5 - M.2 PCIe 5.0 - USB 3.2 - PCI-Express 4.0 16x - Wi-Fi 6E - LAN 2.5 GbE
ASUS ROG STRIX B650E-E GAMING WIFI,323.95,Carte mère ATX Socket AM5 AMD B650E - 4x DDR5 - M.2 PCIe 5.0 - USB 3.2 - PCI-Express 5.0 16x - LAN 2.5 GbE - Wi-Fi 6E/Bluetooth 5.2
Gigabyte H610M H DDR4,79.50,Carte mère Micro ATX Socket 1700 Intel H610 Express - 2x DDR4 - M.2 PCIe 3.0 - USB 3.0 - PCI-Express 4.0 16x
MSI MAG X670E TOMAHAWK WIFI,298.95,Carte mère ATX Socket AM5 AMD X670E - 4x DDR5 - M.2 PCIe 5.0 - USB 3.2 - PCI-Express 5.0 16x - LAN 2.5 GbE - Wi-Fi 6E/Bluetooth 5.3
MSI B760 GAMING PLUS WIFI,169.95,Carte mère ATX Socket 1700 Intel B760 Express - 4x DDR5 - M.2 PCIe 4.0 - USB 3.1 - PCI-Express 4.0 16x - LAN 2.5 GbE + Wi-Fi 6E/Bluetooth 5.3
ASRock X570 Taichi,305.95,Carte mère ATX Socket AM4 AMD X570 - 4x DDR4 - SATA 6Gb/s + M.2 - USB 3.1 - 3x PCI-Express 4.0 16x
ASUS ROG STRIX B550-F GAMING,159.95,Carte mère ATX Socket AM4 AMD B550 - 4x DDR4 - SATA 6Gb/s + M.2 - USB 3.1 - 2x PCI-Express 3.0 16x - LAN 2.5 GbE
ASUS PRIME A520M-K,76.95,Carte mère Micro ATX Socket AM4 AMD A520 - 2x DDR4 - M.2 PCIe NVMe - USB 3.0 - 1x PCI-Express 3.0 16x
MSI MAG B660 TOMAHAWK WIFI,193.95,Carte mère ATX Socket 1700 Intel B660 Express - 4x DDR5 - M.2 PCIe 4.0 - USB 3.2 - PCI-Express 4.0 16x - LAN 2.5 GbE + Wi-Fi 6 AX/Bluetooth 5.2
