designation,price,description
"WD_Black 3.5"" Gaming Hard Drive 2 To SATA 6Gb/s",130.95,"Toshiba S300 2 To HDWT720UZSVA - Disque dur 3.5"" 2 To 5400 RPM 128 Mo Serial ATA 6 Gb/s pour systèmes de surveillance"
Western Digital WD Gold 8 To (WD8004FRYZ),243.95,"Seagate IronWolf Pro 12 To (ST12000NT001) - Disque dur 3.5"" 12 To 7200 RPM 256 Mo Serial ATA 6 Gb/s 550 To/an pour NAS 512e (bulk)"
Western Digital WD Gold 10 To (WD102KRYZ),273.95,"Toshiba S300 10 To - Disque dur 3.5"" 10 To 7200 RPM 256 Mo Serial ATA III pour systèmes de surveillance"
"WD_Black 3.5"" Gaming Hard Drive 6 To SATA 6Gb/s",286.95,"Western Digital Ultrastar DC HC310 6 To (0B36039) - Disque dur serveur 3.5"" 6 To 7200 RPM 256 Mo SATA 6Gb/s 512e (bulk)"
Seagate Exos 7E8 3.5 HDD 4 To (ST4000NM003A),227.95,"Western Digital Ultrastar DC HC310 4 To (0B35950) - Disque dur serveur 3.5"" 4 To 7200 RPM 256 Mo SATA 6Gb/s 512n (bulk)"
Seagate IronWolf Pro 20 To (ST20000NE000),526.95,"Western Digital WD Red Pro 12 To SATA 6Gb/s - Disque Dur 3.5"" 12 To 256 Mo Serial ATA 6Gb/s 7200 RPM - WD121KFBX (bulk)"
Seagate IronWolf Pro 22 To (ST22000NT001),531.95,"Toshiba X300 12 To - Disque dur 3.5"" 12 To 7200 RPM 256 Mo Serial ATA III"
Western Digital WD AV-GP 2 To SATA 6Gb/s,71.95,"Western Digital Ultrastar DC HC330 10 To (0B42258) - Disque dur serveur 3.5"" 10 To 7200 RPM 256 Mo SAS 12Gb/s 512e (bulk)"
Toshiba S300 6 To,168.95,"Seagate IronWolf 3 To (ST3000VN006) - Disque dur 3.5"" 3 To 5400 RPM 256 Mo Serial ATA 6 Gb/s pour NAS (bulk)"
Toshiba N300 12 To,271.95,"Seagate IronWolf Pro 20 To (ST20000NT001) - Disque dur 3.5"" 20 To 7200 RPM 512 Mo Serial ATA 6 Gb/s 550 To/an pour NAS 512e (bulk)"
Toshiba X300 10 To,236.95,"Toshiba L200 1 To (bulk) - Disque dur 2.5"" 7mm 1 To 5400 RPM 128 Mo SATA 6 Gbps"
Toshiba S300 2 To HDWT720UZSVA,58.95,"Western Digital WD Purple 3 To - Disque Dur 3.5"" 3 To 5400 rpm 256 Mo Serial ATA 6Gb/s - WD33PURZ"
Seagate IronWolf Pro 12 To (ST12000NT001),331.95,"Toshiba N300 14 To - Disque dur 3.5"" 14 To 7200 RPM 512 Mo Serial ATA 6 Gb/s pour NAS"
Toshiba S300 10 To,253.95,"WD_Black 3.5"" Gaming Hard Drive 1 To SATA 6Gb/s - Disque dur 3.5"" 1 To 7200 RPM 64 Mo Serial ATA 6Gb/s - WD1003FZEX"
Western Digital Ultrastar DC HC310 6 To (0B36039),194.95,"Toshiba P300 1 To - Disque dur 3.5"" 1 To 7200 RPM 64 Mo Serial ATA III 6 Gb/s (version boîte)"
Western Digital Ultrastar DC HC310 4 To (0B35950),159.95,"Western Digital WD Purple Surveillance Hard Drive 3 To SATA 6Gb/s - Disque Dur 3.5"" 3 To 64 Mo 5400 rpm Serial ATA 6Gb/s - WD30PURZ"
Western Digital WD Red Pro 12 To SATA 6Gb/s,358.95,"Toshiba S300 8 To - Disque dur 3.5"" 8 To 7200 RPM 256 Mo Serial ATA III pour systèmes de surveillance"
Toshiba X300 12 To,307.95,"Western Digital WD Purple Surveillance Hard Drive 1 To SATA 6Gb/s - Disque Dur 3.5"" 1 To 64 Mo 5400 rpm Serial ATA 6Gb/s - WD10PURZ"
Western Digital Ultrastar DC HC330 10 To (0B42258),255.95,"Western Digital Ultrastar DC HA210 1 To (1W10001) - Disque dur serveur 3.5"" 1 To 7200 RPM 128 Mo SATA 6Gb/s 512n (bulk)"
Seagate IronWolf 3 To (ST3000VN006),94.95,"Toshiba P300 4 To (Bulk) - Disque dur 3.5"" 4 To 5400 RPM 128 Mo Serial ATA III 6 Gb/s (version bulk)"
Seagate IronWolf Pro 20 To (ST20000NT001),525.95,"Seagate Exos X16 HDD 10 To (ST10000NM001G) - Disque dur 3.5"" 10 To 7200 RPM 256 Mo Serial ATA 6 Gb/s 512e/4Kn (bulk)"
Toshiba L200 1 To (bulk),51.50,"Seagate IronWolf Pro 18 To (ST18000NE000) - Disque dur 3.5"" 18 To 7200 RPM 256 Mo Serial ATA 6 Gb/s pour NAS 512e (bulk)"
Western Digital WD Purple 3 To,89.95,"Western Digital WD Purple 6 To - Disque Dur 3.5"" 6 To 128 Mo 5640 RPM Serial ATA 6Gb/s - WD62PURZ"
Toshiba N300 14 To,379.95,"Western Digital WD Purple Pro 10 To - Disque Dur 3.5"" 10 To 256 Mo 7200 RPM Serial ATA 6Gb/s - WD101PURP"
