designation,price,description
Seagate SSD FireCuda 530 1 To,109.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Corsair Force MP600 PRO XT 2 To,165.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
LDLC SSD F8 PLUS M.2 2280 PCIE NVME 480 GB,47.50,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Western Digital SSD WD Black SN850 500 Go avec dissipateur,94.50,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Western Digital SSD WD Blue SN570 2 To,134.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Western Digital SSD WD Black SN850X 1 To - Avec dissipateur thermique,128.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Corsair Force MP600 CORE XT 2 To,128.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Western Digital SSD WD Red SA500 1 To,80.50,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Textorm BM5 SSD 1920 Go,76.50,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Western Digital SSD WD Blue SA510 500 Go - M.2,51.50,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Kingston KC600 1 To,117.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Kingston DC500M 480 Go,110.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Corsair Force MP600 PRO XT 1 To,128.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Transcend SSD MTE400S 1 To (TS1TMTE400SN),84.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Western Digital SSD WD Blue 2 To,153.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Kingston KC600 512 Go,72.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Kingston KC3000 2048 Go,162.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Kingston FURY Renegade 1 To avec dissipateur thermique,118.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Kingston FURY Renegade 4 To avec dissipateur thermique,478.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
