Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX80648I75960X,Intel,Core i7-5960X,196,80.5,15468,https://cpu.userbenchmark.com/Intel-Core-i7-5960X/Rating/2580
CPU,BX80662I76700,Intel,Core i7-6700,318,72.3,282363,https://cpu.userbenchmark.com/Intel-Core-i7-6700/Rating/3515
CPU,BX80662I76700K,Intel,Core i7-6700K,191,80.8,588978,https://cpu.userbenchmark.com/Intel-Core-i7-6700K/Rating/3502
CPU,CM8066201920202,Intel,Core i7-6700T,364,69.9,9225,https://cpu.userbenchmark.com/SpeedTest/36439/IntelR-CoreTM-i7-6700T-CPU---280GHz
CPU,BX80671I76800K,Intel,Core i7-6800K,193,80.6,38324,https://cpu.userbenchmark.com/Intel-Core-i7-6800K/Rating/3607
CPU,BX80671I76850K,Intel,Core i7-6850K,167,83.6,29279,https://cpu.userbenchmark.com/Intel-Core-i7-6850K/Rating/3606
CPU,BX80671I76900K,Intel,Core i7-6900K,143,85.9,6755,https://cpu.userbenchmark.com/Intel-Core-i7-6900K/Rating/3605
CPU,BX80671I76950X,Intel,Core i7-6950X,137,86.8,6135,https://cpu.userbenchmark.com/Intel-Core-i7-6950X/Rating/3604
CPU,BX80677I77700,Intel,Core i7-7700,256,76.2,256717,https://cpu.userbenchmark.com/Intel-Core-i7-7700/Rating/3887
CPU,BX80677I77700K,Intel,Core i7-7700K,165,84,634862,https://cpu.userbenchmark.com/Intel-Core-i7-7700K/Rating/3647
CPU,BX80677I77700T,Intel,Core i7-7700T,328,71.7,7380,https://cpu.userbenchmark.com/SpeedTest/232624/IntelR-CoreTM-i7-7700T-CPU---290GHz
CPU,BX80677I77740X,Intel,Core i7-7740X,133,87,5094,https://cpu.userbenchmark.com/SpeedTest/304932/IntelR-CoreTM-i7-7740X-CPU---430GHz
CPU,BX80673I77800X,Intel,Core i7-7800X,233,77.9,22334,https://cpu.userbenchmark.com/SpeedTest/304816/IntelR-CoreTM-i7-7800X-CPU---350GHz
CPU,BX80673I77820X,Intel,Core i7-7820X,201,80.1,28524,https://cpu.userbenchmark.com/Intel-Core-i7-7820X/Rating/3928
CPU,BX80684I78086K,Intel,Core i7-8086K,112,90.8,38086,https://cpu.userbenchmark.com/SpeedTest/516988/IntelR-CoreTM-i7-8086K-CPU---400GHz
CPU,FH8068403419332,Intel,Core i7-8559U,240,77.5,2379,https://cpu.userbenchmark.com/SpeedTest/543591/IntelR-CoreTM-i7-8559U-CPU---270GHz
CPU,FJ8068404064405,Intel,Core i7-8565U,645,54.7,81207,https://cpu.userbenchmark.com/SpeedTest/591977/IntelR-CoreTM-i7-8565U-CPU---180GHz
CPU,BX80684I78700,Intel,Core i7-8700,134,87,349567,https://cpu.userbenchmark.com/Intel-Core-i7-8700/Rating/3940
CPU,BX80684I78700K,Intel,Core i7-8700K,122,88.4,746287,https://cpu.userbenchmark.com/Intel-Core-i7-8700K/Rating/3937
CPU,CM8068403358413,Intel,Core i7-8700T,213,79.4,5592,https://cpu.userbenchmark.com/SpeedTest/480804/IntelR-CoreTM-i7-8700T-CPU---240GHz
CPU,FH8067703417418,Intel,Core i7-8706G,236,77.7,211,https://cpu.userbenchmark.com/SpeedTest/518066/IntelR-CoreTM-i7-8706G-CPU---310GHz
CPU,CL8068403359524,Intel,Core i7-8750H,359,70.1,442631,https://cpu.userbenchmark.com/SpeedTest/470418/IntelR-CoreTM-i7-8750H-CPU---220GHz
CPU,CL8068403359725,Intel,Core i7-8850H,349,70.7,20669,https://cpu.userbenchmark.com/SpeedTest/485626/IntelR-CoreTM-i7-8850H-CPU---260GHz
CPU,BX80601920,Intel,Core i7-920,518,61.6,69074,https://cpu.userbenchmark.com/Intel-Core-i7-920/Rating/1981
CPU,BX80601950,Intel,Core i7-950,447,65.9,36389,https://cpu.userbenchmark.com/Intel-Core-i7-950/Rating/617
CPU,BX80684I79700,Intel,Core i7-9700,106,92,79875,https://cpu.userbenchmark.com/SpeedTest/816180/IntelR-CoreTM-i7-9700-CPU---300GHz
CPU,BX80684I79700F,Intel,Core i7-9700F,107,92,54980,https://cpu.userbenchmark.com/SpeedTest/816132/IntelR-CoreTM-i7-9700F-CPU---300GHz
CPU,BX80684I79700K,Intel,Core i7-9700K,78,96.9,550833,https://cpu.userbenchmark.com/Intel-Core-i7-9700K/Rating/4030
CPU,BX80684I79700KF,Intel,Core i7-9700KF,75,97.1,32736,https://cpu.userbenchmark.com/SpeedTest/710154/IntelR-CoreTM-i7-9700KF-CPU---360GHz
CPU,CL8068404121817,Intel,Core i7-9750H,294,73.3,328182,https://cpu.userbenchmark.com/SpeedTest/766364/IntelR-CoreTM-i7-9750H-CPU---260GHz
CPU,BX80673I79800X,Intel,Core i7-9800X,173,82.9,4003,https://cpu.userbenchmark.com/SpeedTest/651256/IntelR-CoreTM-i7-9800X-CPU---380GHz
CPU,BX8070110850K,Intel,Core i9-10850K,62,98.9,84873,https://cpu.userbenchmark.com/SpeedTest/1255865/IntelR-CoreTM-i9-10850K-CPU---360GHz
CPU,BX8070110900F,Intel,Core i9-10900F,89,95.4,8499,https://cpu.userbenchmark.com/SpeedTest/1196789/IntelR-CoreTM-i9-10900F-CPU---280GHz
CPU,BX8070110900K,Intel,Core i9-10900K,56,99.6,107269,https://cpu.userbenchmark.com/Intel-Core-i9-10900K/Rating/4071
CPU,BX8070110900KF,Intel,Core i9-10900KF,57,99.5,21040,https://cpu.userbenchmark.com/SpeedTest/1174369/IntelR-CoreTM-i9-10900KF-CPU---370GHz
